Country Name,Country Code,Time,Time Code,"Air transport, freight (million ton-km) [IS.AIR.GOOD.MT.K1]","Air transport, passengers carried [IS.AIR.PSGR]",CO2 emission from transport (of which road) relative to GDP (PPP) (kg per dollar) [CO.EM.TRNS.ROAD.PPP],CO2 emission from transport relative to GDP (PPP) (kg per dollar) [CO.EM.TRNS.GDP.PPP],Container port traffic (TEU: 20 foot equivalent units) [IS.SHP.GOOD.TU],Deaths by road user category - 2 or 3 wheeler [%] [ROAD.DTH.2.WEEL],Deaths by road user category - 4 wheeler [%] [ROAD.DTH.4.WEEL],Deaths by road user category - cyclist [%] [ROAD.DTH.CYCLIST],Deaths by road user category - others [%] [ROAD.DTH.OTHER],Deaths by road user category - pedestrian [%] [ROAD.DTH.PEDESTRN],Energy consumption of transport relative to GDP (PPP) (GOE per dollar) [EG.CON.TRAN.PP.KD],Good governance index - Undue influence  [value: 1 = worst to 7 = best] [GOV.IN.UNDU.IN.VAL],Good governance index - Undue influence value [rank] [GOV.IN.UNDU.IN.RAN],Liner Shipping Connectivity Index [IS.SHP.GCNW.XQ],Logistics performance index - customs  [value: 1 = low to 5 = high] [LP.LPI.OVRL.XQ],Logistics performance index - customs [rank] [LP.LPI.OVRL.RANK],"Mortality caused by road traffic injury (per 100,000 people) [EST.ROAD.TRAF.DTH.100G]","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]",Quality of air transport infrastructure [rank] [QA.AIR.TRANS.IN.RANK],Quality of air transport infrastructure [value: 1 = worst to 7 = best] [QA.AIR.TRANS.IN],Quality of port infrastructure [rank] [QA.PORT.TRANS.IN.RANK],Quality of port infrastructure [value: 1 = worst to 7 = best] [QA.PORT.TRANS.IN],Quality of railroad infrastructure [rank] [QA.RAIL.TRANS.IN.RANK],Quality of railroad infrastructure [value: 1 = worst to 7 = best] [QA.RAIL.TRANS.IN],Quality of roads [rank] [QA.ROAD.TRANS.IN.RANK],Quality of roads [value: 1 = worst to 7 = best] [QA.ROAD.TRANS.IN],"Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]",Total world transport-related GHG emissions (million tonnes) [EN.CO2.TRAN.ZS]
China,CHN,1960,YR1960,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1961,YR1961,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1962,YR1962,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1963,YR1963,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1964,YR1964,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1965,YR1965,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1966,YR1966,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1970,YR1970,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1974,YR1974,29,710000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
